word	level
儿子	1
儿科	6
儿童	4
允许	4
元	1
元宵	6
元旦	5
元素	6
元老	7
元首	7
兄弟	4
充	7
充值	5
充分	5
充实	6
充当	7
充斥	7
充沛	7
充满	5
充电	5
充裕	7
充足	5
兆头	7
先	3
先例	7
先前	6
先后	5
先天	7
先生	1
先进	5
先锋	7
光	4
光临	5
光彩	7
光明	5
光明磊落	7
光泽	7
光滑	7
光环	7
光盘	7
光线	5
光缆	7
光芒	7
光荣	7
光辉	7
光顾	7
克	4
克制	7
克服	5
克隆	7
免	6
免不了	7
免得	7
免疫	6
免税	6
免职	7
免费	4
免除	7
兑	7
兑换	7
兑现	7
兔子	5
党	7
兜	7
兜售	7
兢兢业业	7
入	4
入住	4
入侵	7
入口	4
入场	7
入场券	7
入境	6
入学	4
入手	7
入选	6
入门	6
全	4
全体	5
全力	5
全力以赴	7
全局	7
全心全意	7
全新	5
全方位	7
全球	4
全程	6
全能	7
全身	4
全身心	7
全部	4
全都	4
全面	5
八	1
八卦	7
八成	7
公	6
公主	6
公事	7
公交车	2
公仆	7
公众	6
公元	6
公共	4
公关	7
公办	7
公务	7
公务员	5
公司	1
公告	6
公园	3
公墓	7
公安	6
公寓	5
公布	5
公平	5
公开	6
公式	7
公斤	3
公款	7
公正	6
公民	6
公然	7
公用	7
公益	6
公示	7
公立	7
公约	7
公职	7
公认	6
公证	7
公费	7
公路	4
公道	7
公里	4
公顷	7
六	1
兰花	6
共	4
共享	5
共同	4
共同体	7
共和国	7
共性	7
共计	6
共识	7
共鸣	7
关	3
关于	3
关切	7
关头	7
关心	3
关怀	6
关机	3
关注	3
关照	7
关爱	6
关税	7
关系	3
关联	6
关节	7
关键	4
关闭	5
兴奋	4
兴奋剂	7
兴建	7
兴旺	7
兴盛	7
兴致	7
兴起	6
兴趣	3
兴隆	7
兴高采烈	7
兵	6
其	5
其中	4
其他	3
其余	5
其实	3
其次	4
其间	6
具体	5
具备	5
具有	5
典型	6
典礼	6
典范	7
兹	7
养	3
养成	4
养殖	7
养活	7
养生	7
养老	6
养老院	6
养育	7
兼	7
兼任	7
兼容	7
兼职	6
兼顾	7
内	4
内向	7
内在	7
内地	7
内外	6
内存	7
内容	4
内幕	7
内心	4
内涵	6
内科	6
内脏	7
内行	7
内衣	6
内部	5
内需	7
册	5
再	1
再三	6
再度	7
再接再厉	7
再次	4
再现	7
再生	6
再见	1
再说	4
冒	6
冒充	7
冒昧	7
冒犯	7
冒险	6
冗长	7
写	1
写作	5
写照	7
军事	7
军人	6
军官	7
军舰	7
军队	6
农业	5
农产品	6
农历	7
农场	7
农村	4
农民	5
农民工	7
农田	6
冠军	5
冤	7
冤枉	7
冬天	3
冰	3
冰天雪地	7
冰山一角	7
冰棍儿	7
冰激凌	3
冰箱	3
冰雹	7
冲	5
冲击	6
冲刺	7
冲动	6
冲撞	7
冲洗	7
冲浪	7
冲突	6
决定	3
决心	5
决策	6
决议	7
决赛	5
况且	7
冷	1
冷冻	7
冷却	7
冷战	7
冷气	7
冷淡	7
冷漠	7
冷落	7
冷酷	7
冷门	7
冷静	4
冻	5
冻结	7
净	6
净化	7
凄凉	7
准	4
准则	7
准备	2
准时	4
准确	4
准许	7
凉	4
凉快	3
凉爽	7
凋谢	7
凌晨	6
减	4
减免	7
减压	6
减少	4
减弱	6
减肥	5
减负	7
减轻	4
减退	7
凑	7
凑合	7
凑巧	7
凝固	7
凝结	7
凝聚	7
凝视	7
几	1
几乎	3
凡是	6
凤凰	7
凤毛麟角	7
凭	5
凭借	5
凭证	7
凯旋	7
凳子	7
凶	7
凶恶	7
凶手	7
凶残	7
凶狠	7
凶猛	7
凸	7
凸显	7
凹	7
出	2
出丑	7
出于	6
出人意料	7
出任	7
出众	7
出入	6
出具	7
出力	6
出动	7
出卖	7
出厂	7
出去	2
出发	3
出发点	7
出口	4
出口成章	7
出台	7
出名	6
出售	5
出国	2
出土	7
出场	6
出境	6
出头	7
出局	7
出差	4
出席	5
出征	7
出息	7
出手	7
出来	2
出游	6
出版	5
出现	4
出生	3
出示	6
出神	7
出租	4
出租车	1
出自	5
出色	5
出行	4
出访	7
出资	7
出走	7
出路	7
出身	7
出门	2
出院	3
出面	7
击败	6
函	7
凿	7
刀	4
刁难	7
分	1
分为	4
分享	5
分别	5
分割	7
分化	7
分发	7
分外	7
分寸	7
分工	6
分布	5
分开	3
分成	7
分手	5
分担	7
分支	7
分散	6
分数	4
分明	7
分期	6
分析	5
分歧	7
分泌	7
分离	5
分类	5
分红	7
分级	6
分裂	7
分解	7
分辨	7
分配	5
分量	7
分钟	1
切	5
切割	7
切实	6
切忌	7
切换	7
切磋	7
切记	7
切身	7
切除	7
刊物	7
刊登	7
刑事	7
刑法	7
划	5
划不来	7
划分	6
划得来	7
划时代	7
划算	7
列	4
列举	7
列车	5
则	6
刚	3
刚刚	3
刚好	5
刚才	3
创	7
创业	5
创伤	7
创作	5
创办	6
创始人	7
创建	6
创意	6
创新	5
创立	6
创造	5
初	5
初中	3
初期	5
初步	6
初等	6
初级	5
初衷	7
删	5
删除	5
判	7
判决	7
判处	7
判定	7
判断	4
刨	7
利害	7
利弊	7
利息	6
利润	5
利率	7
利用	5
利益	5
利索	7
别	2
别人	3
别具匠心	7
别墅	7
别扭	7
别的	3
别看	7
别致	7
别说	7
刮	3
刮目相看	7
到	1
到位	7
到处	3
到头来	7
到底	4
到期	5
到来	4
到达	5
制	6
制作	5
制品	6
制定	5
制度	5
制服	7
制止	7
制约	7
制裁	7
制订	5
制造	5
刷	3
刷新	7
券	6
刹车	6
刹那	7
刺	6
刺激	5
刺眼	7
刺绣	7
刺耳	7
刺骨	7
刻	3
刻不容缓	7
刻意	7
刻画	7
刻舟求剑	7
刻苦	7
剂	7
剂量	7
剃	7
削	7
削减	7
削弱	7
前	1
前任	7
前台	7
前后	4
前夕	7
前天	3
前年	3
前往	5
前所未有	7
前提	6
前方	4
前无古人	7
前景	6
前期	6
前来	5
前沿	7
前程	7
前线	7
前者	6
前赴后继	7
前辈	7
前进	5
前途	5
前面	2
剑	6
剔除	7
剥	7
剥削	7
剥夺	7
剧变	7
剧场	5
剧情	7
剧本	6
剧烈	6
剧目	7
剧院	4
剩	4
剩余	6
剪	5
剪刀	5
剪彩	7
剪辑	7
副	5
副作用	7
